Data,Valor
2019-06-07,92
2019-06-09,86.99
2019-06-15,86.99
2019-06-29,76.89
2019-07-02,69.99
2019-07-07,69.99
2019-07-25,133.99
2019-07-27,130.99
2019-07-28,133.99
2019-08-01,133.99
2019-08-03,81.99
2019-08-04,81.99
2019-08-06,77.99
2019-08-11,84.98
2019-08-12,110.91
2019-08-13,111
2019-08-16,122
2019-08-18,115.25
2019-08-19,116.69
2019-08-21,90.44
2019-08-23,77.99
2019-08-26,74.99
2019-08-31,86.58
2019-09-02,92.42
2019-09-03,108.19
2019-09-04,77.99
2019-09-07,93.36
2019-09-08,102.3
2019-09-08,96.72
2019-09-09,99.87
2019-09-09,97.8
2019-09-10,93.36
2019-09-11,105.72
2019-09-11,92
2019-09-19,90.69
2019-09-20,91.57
2019-09-23,90.69
2019-09-25,81.99
2019-10-08,77.99
2019-10-10,81.99
2019-10-18,80.99
2019-10-21,81.99
2019-10-22,80
2019-11-04,81.99
2019-11-05,78.99
2019-11-14,77.99
2019-11-19,76.89
2019-11-22,76.99
2019-11-27,77.99
2019-12-02,92.22
2019-12-03,107.68
2019-12-03,106.08
2019-12-04,97.79
2019-12-04,77.99
2019-12-05,79.99
2019-12-10,77.99
2019-12-17,79.97
2019-12-17,79.99
2019-12-18,81.99
2019-12-18,77.99
2019-12-20,81.99
2019-12-21,79.99
2019-12-26,77.99
2020-01-02,79.99
2020-01-08,81.99
2020-01-15,75.99
2020-01-16,78.99
2020-01-17,75.99
2020-01-29,81.99
2020-02-01,78.99
2020-02-07,81.99
2020-02-11,77.99
2020-02-13,81.99
2020-02-22,75.99
2020-02-25,76.99
2020-03-01,81.99
2020-03-04,89.98
2020-03-05,81.99
2020-03-05,87.69
2020-03-05,89.98
2020-03-06,95.98
2020-03-06,96.79
2020-03-07,102.31
2020-03-07,98.23
2020-03-07,96.5
2020-03-08,96.35
2020-03-08,96.24
2020-03-08,96.07
2020-03-08,94.95
2020-03-09,96.78
2020-03-09,96.46
2020-03-09,96.78
2020-03-10,96.77
2020-03-10,96.59
2020-03-10,96.42
2020-03-10,96.25
2020-03-10,96.22
2020-03-11,81.99
2020-03-17,86.99
2020-03-26,81.99
2020-03-29,86.99
2020-04-09,85.66
2020-04-09,77.99
2020-04-16,86.99
2020-04-23,85.99
2020-04-27,84.66
2020-04-27,84.7
2020-04-27,76.99
2020-05-04,93.54
2020-05-04,93.5
2020-05-04,93.48
2020-05-04,93.44
2020-05-04,93.42
2020-05-04,93.38
2020-05-04,85.99
2020-05-04,93.3
2020-05-04,93.28
2020-05-04,85.99
2020-05-05,93.96
2020-05-05,85.86
2020-05-05,77.99
2020-05-05,85.76
2020-05-06,85.7
2020-05-06,77.99
