Data,Valor
2022-06-22,"585,00"
2022-07-04,"532,00"
2022-07-15,"528,00"
2022-07-23,"518,00"
2022-08-05,479.36
2022-08-06,"470,00"
2022-08-08,"518,00"
2022-08-09,"470,00"
2022-08-10,"466,00"
2022-08-14,"470,00"
2022-08-14,"466,00"
2022-08-17,"470,00"
2022-08-17,479.36
2022-08-17,"470,00"
2022-08-19,"532,00"
2022-08-19,"520,00"
2022-08-20,519.9
2022-08-21,"519,00"
2022-08-26,"518,00"
2022-09-14,"489,00"
2022-09-15,"518,00"
2022-09-21,517.9
2022-09-21,517.6
2022-09-21,517.06
2022-09-22,516.74
2022-09-22,516.66
2022-09-22,516.5
2022-09-22,516.42
2022-09-22,516.24
2022-09-22,515.92
2022-09-22,515.62
2022-09-22,515.42
2022-09-23,505.05
2022-09-23,499.87
2022-09-23,492.62
2022-09-23,492.45
2022-09-30,"489,00"
2022-10-01,438.15
2022-10-03,"489,00"
2022-10-03,438.15
2022-10-05,"438,00"
2022-11-01,489.9
2022-11-03,"450,00"
2022-11-07,469.9
2022-11-25,"480,00"
2022-11-29,489.9
2022-11-29,"480,00"
2022-12-09,"477,00"
2022-12-12,"471,00"
2022-12-14,"422,00"
2022-12-16,"415,00"
2022-12-20,"420,00"
2022-12-22,"418,00"
2022-12-24,"420,00"
2023-01-04,"444,00"
2023-01-04,"420,00"
2023-01-10,"415,00"
2023-01-10,"403,00"
2023-01-10,"379,00"
2023-01-11,"365,00"
2023-01-12,359.6
2023-01-12,"420,00"
2023-01-13,432.56
2023-01-13,"420,00"
2023-01-17,419.11
2023-01-17,"420,00"
2023-01-25,428.42
2023-01-25,"420,00"
2023-01-26,"395,00"
2023-01-29,"362,00"
2023-01-30,359.6
2023-01-31,"350,00"
2023-01-31,345.9
2023-01-31,389.1
2023-02-01,"379,00"
2023-02-10,"350,00"
2023-02-14,372.65
2023-02-15,"379,00"
2023-02-20,375.5
2023-02-21,373.1
2023-02-21,370.7
2023-02-22,368.3
2023-02-22,365.9
2023-02-23,363.5
2023-02-23,365.9
2023-02-24,363.5
2023-02-26,361.1
2023-02-26,363.5
2023-02-26,361.1
2023-02-27,357.6
2023-02-28,353.6
2023-02-28,"356,00"
2023-03-02,"355,00"
2023-03-02,352.6
2023-03-03,350.2
2023-03-03,"350,00"
2023-03-05,350.2
2023-03-05,347.8
2023-03-06,"325,00"
2023-03-06,345.4
2023-03-07,341.6
2023-03-07,336.77
2023-03-08,334.19
2023-03-08,336.59
2023-03-10,334.19
2023-03-10,331.79
2023-03-11,"330,00"
2023-03-12,329.89
2023-03-15,329.88
2023-03-16,329.79
2023-03-20,329.77
2023-03-21,329.69
2023-03-22,329.49
2023-03-22,"325,00"
2023-03-24,324.98
2023-03-25,324.96
2023-03-27,324.93
2023-04-02,310.98
2023-04-02,310.96
2023-04-04,310.94
2023-04-05,310.88
2023-04-06,310.85
2023-04-06,310.83
2023-04-06,310.73
2023-04-06,309.88
2023-04-06,309.82
2023-04-07,309.76
2023-04-07,309.72
2023-04-07,308.88
2023-04-07,307.9
2023-04-07,307.88
2023-04-07,306.9
2023-04-07,"305,00"
2023-04-08,304.98
2023-04-08,"300,00"
2023-04-08,"295,00"
2023-04-11,294.98
2023-04-11,294.95
2023-04-11,293.98
2023-04-11,"290,00"
2023-04-12,"289,00"
2023-04-13,288.97
2023-04-13,288.88
2023-04-13,287.97
2023-04-13,"280,00"
2023-04-14,279.99
2023-04-15,"279,00"
2023-04-18,"277,00"
2023-04-19,276.9
2023-04-19,276.8
2023-04-19,"268,00"
2023-04-20,267.9
2023-04-20,267.8
2023-04-20,"262,00"
2023-04-20,256.9
2023-04-20,259.9
2023-04-21,256.9
2023-04-21,"251,00"
2023-04-21,"249,00"
2023-04-22,245.9
2023-04-22,"245,00"
2023-04-22,245.9
2023-04-22,"245,00"
2023-04-23,245.9
2023-04-23,"245,00"
2023-04-27,244.9
2023-04-28,244.8
2023-04-28,244.7
2023-04-29,244.6
2023-05-01,241.9
2023-05-03,241.5
2023-05-04,241.4
2023-05-13,"241,00"
2023-05-17,240.9
2023-05-18,236.79
2023-05-19,235.8
2023-05-19,"235,00"
2023-05-19,234.9
2023-05-20,232.9
2023-05-20,230.9
2023-05-20,"230,00"
2023-05-22,229.9
2023-05-22,228.9
2023-05-23,"225,00"
2023-05-23,224.9
2023-05-23,223.8
2023-05-23,220.8
2023-05-24,"220,00"
2023-05-24,218.9
2023-05-24,"218,00"
2023-05-25,217.9
2023-05-25,212.9
2023-05-26,"213,00"
2023-06-03,"223,00"
2023-06-04,222.9
2023-06-05,221.9
2023-06-06,220.9
2023-06-07,"220,00"
2023-06-08,229.9
2023-06-11,228.9
2023-06-12,227.9
2023-06-14,227.8
2023-06-15,227.7
2023-06-15,227.6
2023-06-15,225.8
2023-06-16,224.9
2023-06-17,223.8
2023-06-17,221.8
2023-06-19,220.9
2023-06-26,"220,00"
2023-06-28,"219,00"
2023-06-30,"229,00"
2023-06-30,"228,00"
2023-06-30,228.9
2023-07-03,225.1
2023-07-03,224.6
2023-07-03,224.1
2023-07-03,223.5
2023-07-03,222.8
2023-07-04,221.1
2023-07-04,220.3
2023-07-04,"220,00"
2023-07-04,"215,00"
2023-07-05,"228,00"
2023-07-06,227.7
2023-07-06,220.2
2023-07-06,"220,00"
2023-07-10,"229,00"
2023-07-10,"228,00"
2023-07-10,"227,00"
2023-07-10,"225,00"
2023-07-11,219.99
2023-07-11,"218,00"
2023-07-12,"217,00"
2023-07-13,"227,00"
2023-07-13,"220,00"
2023-07-18,"225,00"
2023-07-18,"222,00"
2023-07-29,221.99
2023-07-30,"220,00"
2023-07-30,219.99
2023-07-31,"219,00"
2023-08-01,217.99
2023-08-02,"218,00"
2023-08-02,"224,00"
2023-08-02,223.99
2023-08-03,"220,00"
2023-08-04,"238,00"
2023-08-04,"237,00"
2023-08-05,"236,00"
2023-08-07,"220,00"
2023-08-07,"235,00"
2023-08-07,234.99
2023-08-08,"235,00"
2023-08-09,240.89
2023-08-20,234.99
2023-08-20,240.89
2023-08-21,278.9
2023-08-22,311.94
2023-08-23,278.9
2023-08-23,311.94
2023-08-24,278.9
2023-08-24,311.94
2023-08-25,278.9
2023-08-25,278.29
2023-08-26,278.19
2023-08-26,278.29
2023-08-28,298.29
2023-08-28,278.19
2023-08-28,278.18
2023-08-29,"250,00"
2023-08-31,275.05
2023-08-31,"250,00"
2023-08-31,275.05
2023-09-01,278.08
2023-09-01,255.57
2023-09-07,303.9
2023-09-07,"316,00"
2023-09-08,255.57
2023-09-14,277.9
2023-09-14,255.57
2023-09-18,277.9
2023-09-18,255.29
2023-09-19,255.28
2023-09-22,275.8
2023-09-23,255.28
2023-10-10,277.68
2023-10-10,255.28
2023-10-12,277.68
2023-10-12,255.28
2023-10-12,277.68
2023-10-12,255.28
2023-10-13,277.68
2023-10-13,255.28
2023-10-13,277.79
2023-10-13,255.28
2023-10-13,277.79
2023-10-13,255.28
2023-10-13,277.79
2023-10-13,255.28
2023-10-14,277.79
2023-10-14,255.28
2023-10-14,277.79
2023-10-15,255.28
2023-10-15,277.78
2023-10-15,255.28
2023-10-15,277.78
2023-10-15,255.28
2023-10-15,277.78
2023-10-16,255.28
2023-10-16,277.78
2023-10-16,255.28
2023-10-16,277.78
2023-10-16,255.17
2023-10-17,277.78
2023-10-18,255.17
2023-10-18,277.78
2023-10-18,255.17
2023-10-18,277.78
2023-10-18,255.17
2023-10-18,277.78
2023-10-18,255.17
2023-10-19,277.78
2023-10-19,255.17
2023-10-19,277.78
2023-10-19,255.17
2023-10-19,275.1
2023-10-19,255.17
2023-10-19,275.1
2023-10-20,255.17
2023-10-20,275.1
2023-10-20,255.17
2023-10-20,275.1
2023-10-20,255.17
2023-10-20,275.1
2023-10-21,255.17
2023-10-21,275.1
2023-10-21,255.17
2023-10-21,275.1
2023-10-21,255.17
2023-10-22,275.1
2023-10-22,255.17
2023-10-22,275.1
2023-10-22,255.17
2023-10-22,275.1
2023-10-22,255.17
2023-10-23,275.1
